date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-02-01T00:00:00,TPCP,GHCND:AG000060680,0,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGE00147708,587,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGE00147716,319,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGE00147718,178,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060351,587,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060353,814,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060360,547,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060402,578,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060403,266,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060419,309,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060421,142,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060423,486,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060425,1175,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060430,1507,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060437,1466,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060444,357,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060445,440,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060452,423,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060457,634,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060461,266,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060467,350,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060468,76,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060471,922,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060475,23,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060490,453,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060507,634,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060511,1360,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060514,409,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060515,335,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060518,540,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060520,546,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060522,345,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060531,360,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060535,632,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060536,891,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060540,398,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060549,281,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060550,487,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060555,8,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060557,310,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060559,20,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060560,318,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060563,44,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060566,0,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060571,107,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060580,0,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060581,3,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060602,35,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060607,10,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060620,0,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060630,0,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060640,0,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060656,35,0,0,Algeria,TPCP
2010-02-01T00:00:00,TPCP,GHCND:AGM00060670,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AG000060390,1013,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AG000060590,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AG000060611,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AG000060680,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGE00147708,935,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGE00147716,688,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGE00147718,239,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060351,1498,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060353,1431,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060360,599,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060402,1068,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060403,596,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060419,449,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060421,364,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060423,656,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060425,692,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060430,894,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060437,857,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060444,473,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060445,397,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060452,591,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060457,548,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060461,662,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060467,221,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060468,295,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060471,162,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060475,135,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060490,624,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060507,555,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060511,675,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060514,152,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060515,221,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060518,780,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060520,532,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060522,507,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060531,691,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060535,188,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060536,345,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060540,215,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060549,261,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060550,193,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060555,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060557,379,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060559,0,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060560,152,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060563,25,0,0,Algeria,TPCP
2010-03-01T00:00:00,TPCP,GHCND:AGM00060566,10,0,0,Algeria,TPCP
