country,type,year,inter_reg
Other Asia,OECD Asia,2001,0
Other Asia,LNG exports,2001,63.47
Other Asia,Total exports,2001,63.47
World,Inter-regional pipeline trade,2001,388.9
World,LNG trade,2001,147.26
World,Total trade,2001,536.17
US,Pipeline imports,2002,103.21
US,LNG imports,2002,6.78
US,Total imports,2002,109.99
US,Pipeline exports,2002,12.33
US,LNG exports,2002,1.78
US,Total exports,2002,14.11
Other North America,Pipeline imports,2002,12.33
Other North America,LNG imports,2002,0
Other North America,Total imports,2002,12.33
Other North America,Pipeline exports,2002,103.21
Other North America,LNG exports,2002,0
Other North America,Total exports,2002,103.21
Brazil,Pipeline imports,2002,4.99
Brazil,LNG imports,2002,0
Brazil,Total imports,2002,4.99
Brazil,LNG exports,2002,0
Brazil,Total exports,2002,0
Other S&C America,LNG imports,2002,0.66
Other S&C America,Total imports,2002,0.66
Other S&C America,Pipeline exports,2002,4.99
Other S&C America,LNG exports,2002,5.53
Other S&C America,Total exports,2002,10.52
Europe,Pipeline imports,2002,219.06
Europe,of which: Russia,2002,189.07
Europe,Africa,2002,29.34
Europe,Other CIS,2002,0
Europe,Middle East,2002,0.65
Europe,LNG imports,2002,40.74
Europe,Total imports,2002,259.8
Europe,LNG exports,2002,0
Europe,Total exports,2002,0.03
Russia,Pipeline imports,2002,39.92
Russia,Total imports,2002,39.92
Russia,Pipeline exports,2002,208.68
Russia,of which: Europe,2002,189.07
Russia,Other CIS,2002,19.61
Russia,LNG exports,2002,0
Russia,Total exports,2002,208.68
Other CIS,Pipeline imports,2002,19.64
Other CIS,Total imports,2002,19.64
Other CIS,Pipeline exports,2002,45.05
Other CIS,of which: China,2002,0
Other CIS,Europe,2002,0
Other CIS,Middle East,2002,5.13
Other CIS,Russia,2002,39.92
Other CIS,Total exports,2002,45.05
Middle East,Pipeline imports,2002,5.13
Middle East,of which: Africa,2002,0
Middle East,Other CIS,2002,5.13
Middle East,LNG imports,2002,0
Middle East,Total imports,2002,5.13
Middle East,Pipeline exports,2002,0.65
Middle East,LNG exports,2002,35.24
Middle East,Total exports,2002,35.89
Africa,LNG imports,2002,0
Africa,Total imports,2002,0
Africa,Pipeline exports,2002,29.34
Africa,of which: Europe,2002,29.34
Africa,Middle East,2002,0
Africa,LNG exports,2002,36.47
Africa,Total exports,2002,65.81
China,Pipeline imports,2002,0
China,of which: Other Asia,2002,0
China,Other CIS,2002,0
China,LNG imports,2002,0
China,Total imports,2002,0
India,LNG imports,2002,0
India,Total imports,2002,0
India,LNG exports,2002,0
India,Total exports,2002,0
OECD Asia,Pipeline imports,2002,0
OECD Asia,LNG imports,2002,100.38
OECD Asia,Total imports,2002,100.38
OECD Asia,LNG exports,2002,10.5
OECD Asia,Total exports,2002,10.5
Other Asia,LNG imports,2002,7.33
Other Asia,Total imports,2002,7.33
Other Asia,Pipeline exports,2002,0
Other Asia,of which: China,2002,0
Other Asia,OECD Asia,2002,0
Other Asia,LNG exports,2002,66.37
Other Asia,Total exports,2002,66.37
World,Inter-regional pipeline trade,2002,404.28
World,LNG trade,2002,155.89
World,Total trade,2002,560.17
US,Pipeline imports,2003,93.68
US,LNG imports,2003,14.15
US,Total imports,2003,107.83
US,Pipeline exports,2003,16.73
US,LNG exports,2003,1.7
US,Total exports,2003,18.43
Other North America,Pipeline imports,2003,16.73
Other North America,LNG imports,2003,0
Other North America,Total imports,2003,16.73
Other North America,Pipeline exports,2003,93.68
Other North America,LNG exports,2003,0
Other North America,Total exports,2003,93.68
Brazil,Pipeline imports,2003,5.63
Brazil,LNG imports,2003,0
Brazil,Total imports,2003,5.63
Brazil,LNG exports,2003,0
Brazil,Total exports,2003,0
Other S&C America,LNG imports,2003,1.09
Other S&C America,Total imports,2003,1.09
Other S&C America,Pipeline exports,2003,5.63
Other S&C America,LNG exports,2003,11.67
Other S&C America,Total exports,2003,17.29
Europe,Pipeline imports,2003,226.23
Europe,of which: Russia,2003,193.02
Europe,Africa,2003,29.79
Europe,Other CIS,2003,0
Europe,Middle East,2003,3.41
Europe,LNG imports,2003,41.13
Europe,Total imports,2003,267.36
Europe,LNG exports,2003,0
Europe,Total exports,2003,0
Russia,Pipeline imports,2003,41.11
Russia,Total imports,2003,41.11
Russia,Pipeline exports,2003,212.64
Russia,of which: Europe,2003,193.02
Russia,Other CIS,2003,19.62
Russia,LNG exports,2003,0
Russia,Total exports,2003,212.64
Other CIS,Pipeline imports,2003,19.62
Other CIS,Total imports,2003,19.62
Other CIS,Pipeline exports,2003,46.26
Other CIS,of which: China,2003,0
